identifier,container_number,seal_number_1,seal_number_2,equipment_description_code,container_length,container_height,container_width,container_type,load_status,type_of_service
2018010170,SUDU8784361,H6699024,,40 ft. IL Container (Closed Top),4000,900,800,4510,Loaded,Pier to Pier
2018010171,TGHU4950143,K1456264,,Container,4000,806,800,42G0,Loaded,Container Yard
2018010172,TGHU4996735,B0213327,,Container,4000,806,800,42G0,Loaded,Container Yard
2018010173,CMAU8073040,G0649298,,Container,4000,806,800,42G0,Loaded,Container Yard
2018010174,NYKU4253290,IN3607994,,Openings at one end or both ends.,4000,907,802,4FG0,Loaded,Container Yard
2018010175,HJMU2062961,000014,,Container,2000,806,800,2200,Loaded,Pier to Pier
2018010175,TGHU3550348,000005,,Container,2000,806,800,2200,Loaded,Pier to Pier
2018010175,APZU2108143,000004,,Container,2000,806,800,2200,Loaded,Pier to Pier
2018010175,TRHU3623195,000013,,Container,2000,806,800,2200,Loaded,Pier to Pier
2018010175,TEMU5247365,000009,,Container,2000,806,800,2200,Loaded,Pier to Pier
2018010175,CMAU1306788,000006,,Container,2000,806,800,2200,Loaded,Pier to Pier
2018010175,XINU1581512,000008,,Container,2000,806,800,2200,Loaded,Pier to Pier
2018010175,CMAU1558305,000015,,Container,2000,806,800,2200,Loaded,Pier to Pier
2018010175,MAGU2310186,000007,,Container,2000,806,800,2200,Loaded,Pier to Pier
2018010175,CMAU1195597,000016,,Container,2000,806,800,2200,Loaded,Pier to Pier
2018010176,ECMU4452367,G0649305,,Container,4000,806,800,42G0,Loaded,Container Yard
2018010176,TRLU4838940,G0648168,,Container,4000,806,800,42G0,Loaded,Container Yard
2018010176,APZU4807221,G0647283,,Container,4000,806,800,42G0,Loaded,Container Yard
2018010176,TCLU4431030,G0648051,,Container,4000,806,800,42G0,Loaded,Container Yard
2018010177,HLXU3526958,1232563,989593,Container,2000,806,800,2210,Loaded,House to House
2018010178,TCNU9227768,393021,F8865679,Container,4000,900,800,45G0,Loaded,Container Yard
2018010179,NYKU4101826,IN3607992,,Openings at one end or both ends.,4000,907,802,4FG0,Loaded,Container Yard
2018010179,NYKU4221842,IN3607993,,Openings at one end or both ends.,4000,907,802,4FG0,Loaded,Container Yard
2018010179,TCLU5679910,IN3607917,,Openings at one end or both ends.,4000,907,802,4FG0,Loaded,Container Yard
2018010180,NYKU4101826,IN3607992,,Openings at one end or both ends.,4000,907,802,4FG0,Loaded,Container Yard
2018010180,NYKU4221842,IN3607993,,Openings at one end or both ends.,4000,907,802,4FG0,Loaded,Container Yard
2018010180,TCLU5679910,IN3607917,,Openings at one end or both ends.,4000,907,802,4FG0,Loaded,Container Yard
2018010181,ECMU1543484,G0399765,,Closed Container,0,0,0,,Loaded,Pier to Pier
2018010182,TCLU6197180,APA10661989,,Container,2000,806,800,22G0,Loaded,Container Yard
2018010183,TCLU6197180,APA10661989,,Container,2000,806,800,22G0,Loaded,Container Yard
2018010184,NYKU4848920,IN3719331,,Openings at one end or both ends.,4000,907,802,4FG0,Loaded,Container Yard
2018010185,BMOU2081359,G0399762,,Closed Container,0,0,0,,Loaded,Pier to Pier
2018010186,TCLU3748268,APA10661848,,Container,2000,806,800,22G0,Loaded,Container Yard
2018010187,NYKU0854056,IN3718127,,Openings at one end or both ends.,4000,907,802,4FG0,Loaded,Container Yard
2018010188,ECMU4332192,B0223608,,Container,4000,806,800,42G0,Loaded,Container Yard
2018010189,CLHU4764890,K0956416,,Container,4000,806,800,42G0,Loaded,Container Yard
2018010190,TGHU5045920,B0201341,,Container,4000,806,800,42G0,Loaded,Container Yard
2018010190,APZU4453426,B0201302,,Container,4000,806,800,42G0,Loaded,Container Yard
2018010191,APHU6557710,B0197283,,Container,4000,900,800,45G0,Loaded,Container Yard
2018010192,CMAU4263782,F7976409,,Container,4000,900,800,45G0,Loaded,Container Yard
2018010193,UESU4290689,B0213875,,Container,4000,806,800,42G0,Loaded,Container Yard
2018010193,APZU4889050,B0223690,,Container,4000,806,800,42G0,Loaded,Container Yard
2018010193,ECMU4382850,B0223780,,Container,4000,806,800,42G0,Loaded,Container Yard
2018010193,ECMU4371305,B0224115,,Container,4000,806,800,42G0,Loaded,Container Yard
2018010193,CMAU8039404,B0213776,,Container,4000,806,800,42G0,Loaded,Container Yard
2018010193,CMAU9081712,B0196499,,Container,4000,806,800,42G0,Loaded,Container Yard
2018010193,APZU4678607,B0213756,,Container,4000,806,800,42G0,Loaded,Container Yard
2018010193,CMAU8003269,B0223726,,Container,4000,806,800,42G0,Loaded,Container Yard
2018010193,CMAU9098802,B0196500,,Container,4000,806,800,42G0,Loaded,Container Yard
2018010193,DRYU4179242,B0213777,,Container,4000,806,800,42G0,Loaded,Container Yard
2018010194,GATU4442669,BD163202,,Container,4000,806,800,4300,Loaded,House to House
2018010195,FCIU2960103,AI40044279,,Closed Container,0,0,0,,Loaded,Pier to Pier
2018010196,TCKU2285731,APA10662035,,Closed Container,0,0,0,,Loaded,Pier to Pier
2018010197,MSKU5107403,8271130,,G0,2000,806,802,2CB0,Loaded,Container Yard
2018010198,CRSU1217445,K1842563,,Container,2000,806,800,22G0,Loaded,Container Yard
2018010199,MSKU4133115,ZA4658308,,G0,2000,806,802,2CB0,Loaded,Container Yard
20180101100,CMAU0226604,APA10661831,,Container,2000,806,800,22G0,Loaded,Container Yard
20180101101,GESU8084893,180565,,T0,2000,806,802,2CT0,Loaded,Container Yard
20180101102,APZU4368617,K1661215,,Container,4000,806,800,42G0,Loaded,Container Yard
20180101103,GESU6635929,K1658507,,Container,4000,806,800,42G0,Loaded,Container Yard
20180101104,TCLU4736786,K1658589,,Container,4000,806,800,42G0,Loaded,Container Yard
20180101105,CMAU8044062,K1125880,,Container,4000,806,800,42G0,Loaded,Container Yard
20180101106,TGHU1366394,K1649535,,Container,2000,806,800,22G0,Loaded,Container Yard
20180101106,CMAU8287695,K1649531,,Container,4000,806,800,42G0,Loaded,Container Yard
20180101106,CMAU8309768,K1649559,,Container,4000,806,800,42G0,Loaded,Container Yard
20180101107,GESU6901335,K1645265,,Container,4000,900,800,45G0,Loaded,Container Yard
20180101108,CMAU5537996,K0196427,,Container,4000,900,800,45G0,Loaded,Container Yard
20180101109,TRLU4864507,K1125883,,Container,4000,806,800,42G0,Loaded,Container Yard
20180101110,SEGU4660948,K1090452,,Container,4000,900,800,45G0,Loaded,Container Yard
20180101110,ECMU9329118,K1090420,,Container,4000,900,800,45G0,Loaded,Container Yard
20180101111,NC,,,Non-containerized,0,0,0,,Loaded,
20180101112,NC,,,Non-containerized,0,0,0,,Loaded,
20180101113,CAIU9652172,K0196886,,Container,4000,900,800,45G0,Loaded,Container Yard
20180101114,CMAU9015583,K1091554,,Container,4000,806,800,42G0,Loaded,Container Yard
20180101115,ECMU8087581,K0713055,,Container,4500,906,800,L5G0,Loaded,Container Yard
20180101115,GESU5159026,K0732931,,Container,4000,900,800,45G0,Loaded,Container Yard
20180101116,XINU1522037,APA10661839,,Closed Container,0,0,0,,Loaded,Pier to Pier
20180101117,TCLU3954546,AI50009344,,Container,2000,806,800,22G0,Loaded,Container Yard
20180101118,MEDU6781114,FJ01162619,,Container,2000,806,800,2210,Loaded,House to House
20180101119,MEDU6781114,FJ01162619,,Container,2000,806,800,2210,Loaded,House to House
20180101120,NC,,,Non-containerized,0,0,0,,Loaded,
20180101121,NC,,,Non-containerized,0,0,0,,Loaded,
20180101122,NC,,,Non-containerized,0,0,0,,Loaded,
20180101123,NC,,,Non-containerized,0,0,0,,Loaded,
20180101124,ECMU1797920,G1639559,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101124,GESU1368943,F8806489,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101124,CMAU1568540,G1639527,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101124,APZU3919037,F8806490,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101124,FCIU2802520,G1639519,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101125,APZU2125916,G1639538,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101125,CMAU1307070,F8806444,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101125,CMAU0094827,G1639501,,Container,2000,806,800,2200,Loaded,Pier to Pier
