port_of_lading,containers_2019,containers_2020,container_change,lat,lng
"Hartlepool,United Kingdom",19606,20105,499,54.69,-1.21
"Helsingborg,Sweden",1288495,65576,-1222919,56.0424,12.721
"Helsinki,Finland",159205,17537,-141668,60.1708,24.9375
"Hiroshima,Japan",209473,18813,-190660,34.3914,132.4519
"Hobart,Australia",68,75990,75922,-42.8806,147.325
"Hong Kong,Hong Kong",554002263,168,-554002095,22.3,114.2
"Huasco,Chile",1,16548157,16548156,-28.4664,-71.2192
"Iligan,Philippines",2,980,978,8.23,124.25
"Ilo,Peru",2622,47,-2575,-17.6459,-71.3453
"Imbituba,Brazil",1362,668503,667141,-28.24,-48.67
"Immingham,United Kingdom",12473,18,-12455,53.6139,-0.2183
"Iquique,Chile",152,7,-145,-20.2167,-70.15
"Isla Mujeres,Mexico",18,91980,91962,21.2333,-86.7333
"Ismailia,Egypt",1278,591397807,591396529,30.5833,32.2667
"Istanbul,Turkey",36969519,397121,-36572398,41.0136,28.955
"Itacoatiara,Brazil",8,195604,195596,-3.1428,-58.4439
"Iztapa,Guatemala",106109,99459,-6650,13.9331,-90.7075
"Jaffna,Sri Lanka",4059,62817,58758,9.6647,80.0167
"Jambi,Indonesia",252,2910079,2909827,-1.59,103.61
"Kagoshima,Japan",2,2903,2901,31.5969,130.5572
"Kalundborg,Denmark",269,49880387,49880118,55.682,11.1004
"Kamaishi,Japan",16587,19720,3133,39.2758,141.8857
"Kamsar,Guinea",2317,5,-2312,10.65,-14.6167
"Karlshamn,Sweden",122365,665,-121700,56.1697,14.8638
"Kasaoka,Japan",7864,296791,288927,34.5039,133.51
"Kawasaki,Japan",138607,20,-138587,35.5167,139.7
"Kawasaki,Japan",138607,20,-138587,33.6,130.815
"Kemi,Finland",80691,4955,-75736,65.7361,24.5636
"Kingsnorth,United Kingdom",164,28,-136,51.1178,0.8615
"Koper,Slovenia",696620,19,-696601,45.55,13.7333
"Kota Kinabalu,Malaysia",13702,33,-13669,5.98,116.11
